Method,ARI,NMI,Purity
Raw K-Means,0.13371767279044605,0.28288913429740786,0.27763881940970486
PCA + K-Means,0.11275426298631044,0.2614099363090628,0.25662831415707854
Spectral Clustering,0.06433502110601164,0.13164220109647806,0.2096048024012006
Autoencoder + K-Means,0.08139728971331062,0.2165154815320999,0.20710355177588793
Hybrid K-Means,0.004241227163347036,0.03447364534701411,0.096048024012006
Basic VAE,0.0997034815969993,0.2421353877990621,0.23311655827913957
Conv VAE,0.1086761502598172,0.24704323829124328,0.24312156078039018
Cond VAE,0.07494648177522734,0.174235713515681,0.176088044022011
Agglomerative,0.004251850926614949,0.03313753516657469,0.0945472736368184
DBSCAN (UMAP),0.021817773210967673,0.10605309082745647,0.1310655327663832
